Date,MAX,MIN,AW,RF,EVP
01-01-2022,19.4,4.2,5.36,0,1.8
02-01-2022,20.2,5,2,0,1.5
03-01-2022,20.4,5.4,1,0,1.8
04-01-2022,21.7,8.5,3,0,0.4
05-01-2022,23.2,10.9,1,0.1,1.2
06-01-2022,15.7,11.7,4,9.1,0.6
07-01-2022,21.1,13.5,6,0,2.8
08-01-2022,20.3,15.2,5,40.6,2.1
09-01-2022,16.4,13.8,5,8.4,0
10-01-2022,15,9.6,5,5.4,0.8
11-01-2022,18.1,6.5,5,0,2.6
12-01-2022,18.3,8.2,5,0,0.8
13-01-2022,18.1,5.8,4,0,1.1
14-01-2022,16.7,6,0,0,2
15-01-2022,15.4,6.1,0,0,2.1
16-01-2022,14.8,8.1,2,0,2.2
17-01-2022,17.2,8.7,4,0,0.9
18-01-2022,16.1,8.5,4,0,1.4
19-01-2022,15.4,7.4,5,0,2.4
20-01-2022,18.1,9.8,2,0,1.9
21-01-2022,19.1,7.6,2,0,1.2
22-01-2022,19.6,11.5,3,4.9,1.8
23-01-2022,14.7,10.5,6,19.7,1.7
24-01-2022,14.9,8,2,0,1.5
25-01-2022,14.8,6.2,2,0,1.2
26-01-2022,12.1,5.8,2,0,1.4
27-01-2022,16.4,6.3,3.67,0,1.4
28-01-2022,19.1,6.4,5.33,0,2
29-01-2022,20.6,5.4,7,0,2.35
30-01-2022,22.4,7.5,6,0,2.7
31-01-2022,22.2,6.4,7,0,2.1
01-02-2022,22.2,7,3,0,1.5
02-02-2022,20.8,11.2,8,0,0.6
03-02-2022,23.4,11,6,0.6,0.6
04-02-2022,14.4,10.4,11,1.3,0.6
05-02-2022,18.2,6.9,4,0,2.1
06-02-2022,19.5,5.4,1,0,1.7
07-02-2022,24.2,8.8,2,0,0.5
08-02-2022,26.1,11.5,2,0,1.65
09-02-2022,26,12.8,1,16.7,2.8
10-02-2022,21.8,9.1,3,0,0.4
11-02-2022,22.6,8.2,7,0,1
12-02-2022,22.5,8,9,0,1
13-02-2022,23.4,7,5,0,3.5
14-02-2022,26.4,8.9,1,0,0.9
15-02-2022,27,9.4,2,0,0.95
16-02-2022,27,9.4,4,0,1
17-02-2022,25.7,10.2,1,0,3
18-02-2022,27,9.7,2,0,1.1
19-02-2022,28.4,10.8,3,0,3.6
20-02-2022,25.6,11.4,6,0,3.5
21-02-2022,24.4,10.1,11,0,3.4
22-02-2022,26.4,10.2,4,0,2.9
23-02-2022,27.1,15,11,0,3.6
24-02-2022,24.8,12.7,2,0,3.5
25-02-2022,26.4,12.5,3,0,3
26-02-2022,27.9,13.4,7,10.1,2.8
27-02-2022,23.8,12.1,6,1,2.8
28-02-2022,25.2,11.5,5,0,3.8
01-03-2022,25.3,9.6,5,0,3
02-03-2022,26,11.2,3,0,2.6
03-03-2022,27.4,13.7,3,0,2.8
04-03-2022,29.4,15.3,3,0,2.47
05-03-2022,25.5,13.5,9,0,2.13
06-03-2022,27.2,13.8,7,0,1.8
07-03-2022,28.2,14.3,2,0,1.47
08-03-2022,29.5,14.25,2,0,1.13
09-03-2022,30.8,14.2,2,0,0.8
10-03-2022,31.1,16.8,5,0,3.8
11-03-2022,30,15.6,7,0,3.8
12-03-2022,29.6,15.6,6,0,4.1
13-03-2022,31.2,16.2,5,0,4.2
14-03-2022,32.6,17,3,0,4.4
15-03-2022,33,18.9,3,0,3.6
16-03-2022,34.7,20.5,5.5,0,4.2
17-03-2022,35.1,20.2,8,0,4.4
18-03-2022,36.1,21.7,5,0,4.8
19-03-2022,35.7,19.8,2,0,4.4
20-03-2022,36.6,21.2,2.5,0,4.9
21-03-2022,38.3,20.5,3,0,5
22-03-2022,36.6,22.5,4,0,4.7
23-03-2022,34.6,18.6,3,0,4.4
24-03-2022,35.7,21.2,2,0,5
25-03-2022,35.5,19.6,6,0,21.4
26-03-2022,35.3,20.1,8,0,17.35
27-03-2022,34.5,20.4,11,0,13.3
28-03-2022,36.8,22.2,6,0,9.25
29-03-2022,39.1,18.8,4,0,5.2
30-03-2022,39.2,19.4,4,0,3.8
31-03-2022,39.6,20.1,3,0,4.4
01-04-2022,39.6,21.4,2,0,3.6
02-04-2022,36.5,17.4,5,0,4.7
03-04-2022,39.4,19.3,1,0,4.4
04-04-2022,39.4,19,4,0,5
05-04-2022,38.1,19,5,0,4.4
06-04-2022,38.7,18.7,5,0,4.6
07-04-2022,39.3,19.4,4,0,4.4
08-04-2022,40,19.7,2,0,4.8
09-04-2022,41.6,19.9,1,0,5.5
10-04-2022,42.4,23.5,1,0,6
11-04-2022,41.8,22.5,1,0,5
12-04-2022,42.6,22.5,3,0,5
13-04-2022,39.5,21.7,1,0,4
14-04-2022,40.6,26.2,9,0,4.3
15-04-2022,39.4,23.7,5,0,5
16-04-2022,38.7,22,2,0,4.2
17-04-2022,40,21.7,2,0,5.1
18-04-2022,40.9,22.5,2,0,4.5
